TID: [] [2026-08-18 13:54:52,102] []  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Value Target=a***n Data={"Claim Value":["d**********************************2"],"Claim":"urn:ietf:params:scim:schemas:core:2.0:id","Profile":"default"} Outcome=Success
TID: [-1234] [2026-08-18 13:56:39,370] [07bf6127-e6a7-44e1-8d45-45c50f239cf2]  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-List Target=null Data={"ServiceProviderName":"Ibile","Claim Value":"d********************l","Users":["d********************l"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2026-08-18 13:56:39,459] [07bf6127-e6a7-44e1-8d45-45c50f239cf2]  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Values Target=d********************l Data={"ServiceProviderName":"Ibile","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2026-08-18 13:56:39,488] [07bf6127-e6a7-44e1-8d45-45c50f239cf2]  INFO {AUDIT_LOG} - Initiator : d********************l | Action : LoginStepSuccess | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "f01058af-62d3-4063-96b2-fdb385a1ecc3","AuthenticatedUser" : "d********************l","AuthenticatedUserTenantDomain" : "ibileltdofficial","ServiceProviderName" : "Ibile","RequestType" : "oidc","RelyingParty" : "TbKQJUP0tYEiqcmBM1xhJC6FkFIa","AuthenticatedIdP" : "LOCAL","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "PRIMARY" } | Result : Success 
TID: [-1234] [2026-08-18 13:56:39,493] [07bf6127-e6a7-44e1-8d45-45c50f239cf2]  INFO {AUDIT_LOG} - Initiator : d*************************************l | Action : Authenticate | Target : ApplicationAuthenticationFramework | Data : { Step: 1, IDP: LOCAL, Authenticator:BasicAuthenticator } | Result : Success 
TID: [-1234] [2026-08-18 13:56:39,518] [07bf6127-e6a7-44e1-8d45-45c50f239cf2]  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Values Target=d********************l Data={"ServiceProviderName":"Ibile","Claims":{"http://wso2.org/claims/username":"d********************l","http://wso2.org/claims/userid":"70a647e4-2e71-48c7-af8d-d18fb5880aaf","http://wso2.org/claims/created":"2*************************Z","http://wso2.org/claims/department":"e*********g","http://wso2.org/claims/modified":"2*************************Z","http://wso2.org/claims/emailaddress":"d********************l","http://wso2.org/claims/location":"h************************************************************************f","http://wso2.org/claims/roles":"I***************e","http://wso2.org/claims/lastname":"C********u","http://wso2.org/claims/resourceType":"U**r","http://wso2.org/claims/givenname":"B****i","http://wso2.org/claims/userprincipal":"d********************l"}} Outcome=Success
TID: [-1234] [2026-08-18 13:56:39,618] [07bf6127-e6a7-44e1-8d45-45c50f239cf2]  INFO {AUDIT_LOG} - Initiator : 70a647e4-2e71-48c7-af8d-d18fb5880aaf | Action : StoreSession | Data : { {"traceId":"07bf6127-e6a7-44e1-8d45-45c50f239cf2","RememberMe":false,"sessionContextId":"b7b726624a0cb27b62c377293a1ecad6fb8eb31071094da95a195f3555140d1f","AuthenticatedUserTenantDomain":"ibileltdofficial","AuthenticatedUser":"P****************************l","LastAccessedTimestamp":1787057799526} } | Result : Success 
TID: [-1234] [2026-08-18 13:56:39,675] [07bf6127-e6a7-44e1-8d45-45c50f239cf2]  INFO {AUDIT_LOG} - Initiator : 7**********************************f | Action : Login | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "f01058af-62d3-4063-96b2-fdb385a1ecc3","AuthenticatedUser" : "7**********************************f","AuthenticatedUserTenantDomain" : "ibileltdofficial","ServiceProviderName" : "Ibile","RequestType" : "oidc","RelyingParty" : "TbKQJUP0tYEiqcmBM1xhJC6FkFIa","AuthenticatedIdPs" : "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJ3c28yIiwiZXhwIjoxNzg3MDU3ODAyNDk0LCJpYXQiOjE3ODcwNTc3OTk0OTQsImlkcHMiOlt7ImlkcCI6IkxPQ0FMIiwiYXV0aGVudGljYXRvciI6IkJhc2ljQXV0aGVudGljYXRvciJ9XX0.k_rZA1XQF5KchBwgAqOujdT0SvFp3M-GaXLwxmzxk20","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "PRIMARY" } | Result : Success 
TID: [-1234] [2026-08-18 17:08:38,629] [9906bc79-5eff-4a55-a8b3-b5208077522f]  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-List Target=null Data={"ServiceProviderName":"Ibile","Claim Value":"d********************l","Users":["d********************l"],"Claim":"http://wso2.org/claims/username"} Outcome=Success
TID: [-1234] [2026-08-18 17:08:38,637] [9906bc79-5eff-4a55-a8b3-b5208077522f]  INFO {AUDIT_LOG} - Initiator=w**************r Action=Get-User-Claim-Values Target=d********************l Data={"ServiceProviderName":"Ibile","Claims":{},"Profile":"default"} Outcome=Success
TID: [-1234] [2026-08-18 17:08:38,639] [9906bc79-5eff-4a55-a8b3-b5208077522f]  INFO {AUDIT_LOG} - Initiator : d********************l | Action : LoginStepSuccess | Target : ApplicationAuthenticationFramework | Data : { "ContextIdentifier" : "fdefed97-9e94-4413-b656-969cc0508e84","AuthenticatedUser" : "d********************l","AuthenticatedUserTenantDomain" : "ibileltdofficial","ServiceProviderName" : "Ibile","RequestType" : "oidc","RelyingParty" : "TbKQJUP0tYEiqcmBM1xhJC6FkFIa","AuthenticatedIdP" : "LOCAL","User Agent" : "null","RemoteAddress" : "null","UserStoreDomain" : "PRIMARY" } | Result : Success 
